,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,spin_axis,batter,pitcher,events,description,zone,stand,p_throws,home_team,away_team,type,hit_location,bb_type,plate_x,plate_z,umpire,delta_run_exp
17132,14587,CU,20200924,81.0,-1.65,6.24,45.0,669720,592229,field_out,hit_into_play,9.0,R,R,BOS,BAL,X,6.0,ground_ball,0.71,1.46,Ryan Wills,-0.103
17133,14588,SL,20200924,84.3,-1.83,6.3,103.0,669720,592229,,foul,8.0,R,R,BOS,BAL,S,,,0.04,1.85,Ryan Wills,-0.039
17134,14589,CU,20200924,79.8,-1.82,6.4,46.0,669720,592229,,called_strike,8.0,R,R,BOS,BAL,S,,,0.23,1.82,Ryan Wills,-0.026
17135,14590,CU,20200924,80.4,-1.72,6.35,49.0,600474,592229,field_out,hit_into_play,2.0,R,R,BOS,BAL,X,5.0,ground_ball,-0.12,3.39,Ryan Wills,-0.215
17136,14591,SI,20200924,90.1,-1.87,6.38,205.0,600474,592229,,foul,1.0,R,R,BOS,BAL,S,,,-0.67,3.06,Ryan Wills,-0.076
17137,14592,SI,20200924,90.5,-1.69,6.39,206.0,600474,592229,,called_strike,9.0,R,R,BOS,BAL,S,,,0.44,1.47,Ryan Wills,-0.059
17138,14593,SL,20200924,83.4,-1.87,6.36,146.0,600474,592229,,ball,14.0,R,R,BOS,BAL,B,,,0.75,1.31,Ryan Wills,0.06
17139,14594,SI,20200924,90.2,-1.85,6.43,210.0,600474,592229,,ball,11.0,R,R,BOS,BAL,B,,,-1.46,3.45,Ryan Wills,0.041
17140,14595,SI,20200924,92.2,-1.86,6.1,215.0,502110,502171,grounded_into_double_play,hit_into_play,8.0,R,R,BOS,BAL,X,6.0,ground_ball,0.13,2.24,Ryan Wills,-0.36
17141,14596,SI,20200924,93.4,-1.83,5.94,221.0,593428,502171,single,hit_into_play,8.0,R,R,BOS,BAL,X,7.0,ground_ball,0.02,2.1,Ryan Wills,0.315
17142,14597,FS,20200924,87.8,-2.03,6.1,221.0,593428,502171,,foul,7.0,R,R,BOS,BAL,S,,,-0.64,1.84,Ryan Wills,-0.044
17143,14598,SI,20200924,92.0,-1.64,6.11,210.0,593428,502171,,ball,14.0,R,R,BOS,BAL,B,,,1.3,2.01,Ryan Wills,0.02
